epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
109,5533.94,0.77152,0.39221,0.00957,0.9373,0.91225,0.95557,0.77516,0.71104,0.31569,0.0107,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,5586.03,0.76887,0.41081,0.00948,0.9311,0.92473,0.95714,0.7796,0.71186,0.31002,0.01073,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,5638.02,0.78137,0.39855,0.00994,0.95633,0.90529,0.95942,0.78097,0.70731,0.30871,0.01075,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,5689.73,0.76364,0.38201,0.0097,0.93983,0.91443,0.95747,0.77693,0.70627,0.31882,0.01074,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,5742.05,0.75061,0.39225,0.00931,0.94713,0.90668,0.95387,0.77649,0.70351,0.33684,0.01055,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,5794.08,0.77106,0.40267,0.00959,0.93773,0.9147,0.95318,0.7746,0.71513,0.30514,0.01084,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,5846.42,0.76528,0.37462,0.00945,0.94265,0.90391,0.95283,0.77538,0.70855,0.31975,0.01066,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,5899.04,0.75863,0.38847,0.00978,0.94365,0.90431,0.95588,0.78245,0.69535,0.31132,0.01046,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,5951.01,0.75753,0.40201,0.00923,0.92068,0.92529,0.95774,0.7807,0.69561,0.3155,0.01062,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,6003.13,0.7706,0.39212,0.00954,0.93489,0.92023,0.95791,0.77633,0.70579,0.31268,0.01077,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,6055.03,0.75944,0.3749,0.00944,0.94234,0.90793,0.95287,0.77487,0.7061,0.31686,0.01057,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,6107.38,0.76942,0.38774,0.00957,0.94415,0.91422,0.95635,0.7764,0.71152,0.31103,0.01095,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,6160.89,0.766,0.40548,0.00923,0.95013,0.9036,0.95541,0.77534,0.71667,0.31632,0.01085,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,6214.08,0.76764,0.39565,0.0093,0.93684,0.91766,0.9577,0.77917,0.71223,0.311,0.01078,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,6266.61,0.76991,0.38277,0.00903,0.93254,0.92934,0.96249,0.78497,0.69979,0.29527,0.01055,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,6320.08,0.75254,0.37201,0.00907,0.93736,0.91803,0.95764,0.77711,0.70388,0.30305,0.01079,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,6374.68,0.74251,0.36207,0.00923,0.9472,0.92389,0.96033,0.77702,0.70055,0.29814,0.0107,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,6427.46,0.74106,0.36574,0.00934,0.94192,0.91973,0.95945,0.78097,0.70116,0.30697,0.01064,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,6481.21,0.75689,0.38674,0.00932,0.94379,0.91087,0.9581,0.78624,0.69704,0.314,0.01049,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,6534.74,0.75315,0.36472,0.00914,0.93916,0.92323,0.96013,0.78637,0.69084,0.30249,0.01035,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,6587.01,0.74256,0.36955,0.00914,0.95029,0.91171,0.95599,0.78263,0.696,0.31455,0.0104,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,6639.27,0.74724,0.3535,0.00926,0.94496,0.90346,0.95133,0.77907,0.69343,0.32331,0.01042,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,6691.6,0.75367,0.36244,0.00912,0.94555,0.91473,0.95688,0.78014,0.70048,0.31257,0.01056,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,6744.93,0.73436,0.37715,0.00909,0.93959,0.92477,0.95803,0.78402,0.70194,0.30028,0.01052,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,6796.88,0.74546,0.36175,0.0089,0.94476,0.91569,0.95664,0.78138,0.69772,0.31636,0.01051,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,6849.07,0.74607,0.36798,0.00934,0.93948,0.91603,0.9559,0.78461,0.69803,0.31621,0.01051,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
135,6900.06,0.73741,0.36475,0.00903,0.93889,0.92075,0.95769,0.78522,0.69277,0.3001,0.01041,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
