epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
92,3479.91,0.71016,0.46442,1.07199,0.94064,0.90784,0.96138,0.7765,0.69936,0.43772,0.97603,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,3518.05,0.71821,0.4557,1.0695,0.95183,0.91307,0.96546,0.77955,0.69082,0.41429,0.97437,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,3556.36,0.72621,0.46446,1.07203,0.93532,0.92692,0.96748,0.77681,0.69755,0.47636,0.97399,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,3594.44,0.72468,0.45875,1.0713,0.94992,0.91395,0.96392,0.78083,0.68856,0.4598,0.9692,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,3632.7,0.70464,0.4416,1.06419,0.93444,0.93353,0.9663,0.78307,0.68978,0.51596,0.97365,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,3671.16,0.71018,0.44816,1.06946,0.9472,0.914,0.96265,0.77877,0.69715,0.47874,0.97265,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,3709.26,0.70995,0.44027,1.07066,0.95118,0.91729,0.96303,0.77703,0.68961,0.46323,0.96791,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,3747.47,0.71829,0.44828,1.07791,0.96146,0.90767,0.96169,0.77791,0.69451,0.53231,0.97813,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,3785.73,0.69872,0.4439,1.06027,0.94089,0.91926,0.96326,0.78013,0.69183,0.42627,0.97288,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,3823.2,0.6998,0.43832,1.05839,0.95106,0.91857,0.96708,0.78233,0.69075,0.47812,0.97416,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,3860.66,0.69128,0.43935,1.05954,0.93663,0.93134,0.96946,0.77899,0.68824,0.43759,0.97292,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,3897.38,0.68918,0.43144,1.06051,0.95089,0.91743,0.96486,0.78007,0.70235,0.58246,0.97821,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,3934.78,0.68376,0.42285,1.05656,0.9571,0.9256,0.96934,0.78314,0.69758,0.44915,0.98057,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,3972.33,0.6929,0.43787,1.05584,0.94768,0.92335,0.96428,0.77916,0.68982,0.44826,0.9743,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,4009.69,0.70426,0.43135,1.05881,0.94146,0.91699,0.95903,0.77043,0.71025,0.47818,0.98527,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,4046.31,0.69093,0.42708,1.04945,0.94881,0.92353,0.96748,0.78217,0.68527,0.43804,0.96949,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,4083.18,0.71962,0.44009,1.0655,0.95916,0.92748,0.97077,0.78353,0.68852,0.38107,0.97004,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,4120.73,0.69001,0.4336,1.05295,0.94581,0.93061,0.96489,0.78086,0.69172,0.45984,0.97179,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,4158.6,0.67909,0.43474,1.05172,0.95496,0.92178,0.96823,0.78523,0.67416,0.3825,0.95681,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,4195.92,0.68892,0.43179,1.05821,0.94304,0.92262,0.96559,0.77997,0.69629,0.43891,0.97254,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,4233.34,0.67863,0.42216,1.05187,0.9654,0.92448,0.97078,0.7859,0.68765,0.3738,0.96817,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,4271.06,0.66608,0.41877,1.04539,0.95305,0.91722,0.96711,0.78034,0.68619,0.40128,0.97578,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,4308.65,0.68813,0.4271,1.05688,0.9356,0.93042,0.96667,0.78646,0.68073,0.37171,0.96937,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,4346.46,0.68247,0.41427,1.04435,0.96641,0.91105,0.96852,0.78371,0.68208,0.36933,0.96034,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,4383.96,0.67946,0.42191,1.05167,0.94639,0.92627,0.97072,0.7891,0.67824,0.38933,0.95641,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,4421.37,0.68476,0.42825,1.04672,0.95062,0.92229,0.96646,0.78588,0.67475,0.40604,0.95883,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,4458.32,0.68937,0.42113,1.0583,0.95213,0.92535,0.97102,0.78565,0.68149,0.41476,0.96281,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,4495.83,0.68274,0.41797,1.05469,0.94835,0.91481,0.96486,0.78514,0.68108,0.37811,0.962,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,4533.28,0.6842,0.42315,1.04931,0.95059,0.91999,0.96219,0.78441,0.67777,0.3913,0.9595,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,4571.1,0.68361,0.43257,1.04968,0.96129,0.90546,0.96032,0.77773,0.68294,0.39118,0.97108,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,4608.37,0.6821,0.43024,1.0454,0.95709,0.91742,0.96507,0.78604,0.6848,0.42142,0.96805,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,4645.42,0.67548,0.41911,1.03636,0.96182,0.91377,0.9654,0.78559,0.68572,0.40719,0.96835,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,4682.68,0.66219,0.41004,1.03612,0.96295,0.91171,0.96655,0.78316,0.68265,0.4858,0.97301,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,4720.09,0.66587,0.40702,1.04357,0.94872,0.92554,0.96807,0.78588,0.67699,0.47775,0.96295,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,4757.15,0.65756,0.40656,1.04387,0.95116,0.92138,0.96564,0.78745,0.67904,0.46635,0.96344,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
