               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 114,            0.023437,             0.01574,           0.0027273,             0.92025,             0.93154,             0.96034,             0.75167,            0.019743,            0.010075,           0.0019215,            0.006271,            0.006271,            0.006271
                 115,            0.023368,            0.015533,           0.0025778,             0.92148,             0.91583,             0.95672,             0.74978,             0.01982,            0.010024,           0.0021965,            0.006238,            0.006238,            0.006238
                 116,            0.022864,            0.015415,           0.0021986,             0.93771,             0.91467,              0.9597,             0.75256,             0.01976,            0.010011,           0.0020959,            0.006205,            0.006205,            0.006205
                 117,            0.023635,            0.015377,           0.0027631,             0.92525,             0.92221,             0.95998,             0.75418,             0.01956,            0.009998,           0.0021671,            0.006172,            0.006172,            0.006172
                 118,            0.023594,            0.016214,           0.0028247,             0.91212,             0.93208,             0.95344,             0.75445,            0.019578,             0.01006,           0.0019075,            0.006139,            0.006139,            0.006139
                 119,            0.023598,            0.016017,           0.0027936,             0.92702,             0.91602,              0.9579,             0.75743,            0.019052,           0.0099311,           0.0017647,            0.006106,            0.006106,            0.006106
                 120,            0.023132,            0.015777,           0.0023948,             0.93117,             0.92185,             0.95836,             0.75797,            0.019177,            0.010038,           0.0018411,            0.006073,            0.006073,            0.006073
                 121,            0.023548,            0.015854,            0.002568,             0.93086,             0.92928,             0.96577,             0.75662,            0.019318,            0.009895,           0.0018091,             0.00604,             0.00604,             0.00604
                 122,            0.023116,            0.015847,           0.0024797,             0.92632,             0.92165,              0.9608,             0.75494,            0.019475,            0.010006,           0.0019024,            0.006007,            0.006007,            0.006007
                 123,            0.022955,            0.015605,           0.0024218,             0.92461,             0.91647,             0.95836,             0.75672,             0.01941,           0.0099048,           0.0018466,            0.005974,            0.005974,            0.005974
                 124,            0.023125,            0.015625,           0.0024445,             0.92481,             0.92056,             0.95656,              0.7548,            0.019279,           0.0099309,           0.0018477,            0.005941,            0.005941,            0.005941
                 125,            0.023163,            0.015586,           0.0025523,             0.93473,             0.91734,             0.96038,              0.7606,            0.019158,           0.0099194,           0.0017537,            0.005908,            0.005908,            0.005908
                 126,            0.023279,            0.015753,           0.0027223,             0.92604,             0.92054,             0.95912,             0.75915,            0.019062,            0.010076,           0.0018014,            0.005875,            0.005875,            0.005875
                 127,            0.022908,            0.015887,           0.0023939,             0.91458,             0.92186,             0.95613,             0.75116,            0.019459,            0.010101,           0.0020318,            0.005842,            0.005842,            0.005842
                 128,            0.022902,            0.015527,           0.0026226,             0.92763,             0.91979,             0.95636,             0.75432,            0.019443,           0.0099807,           0.0020834,            0.005809,            0.005809,            0.005809
                 129,            0.022822,             0.01562,           0.0025374,             0.93062,             0.92752,             0.95909,             0.75854,            0.019103,            0.010003,           0.0019032,            0.005776,            0.005776,            0.005776
                 130,             0.02291,            0.015542,           0.0025715,             0.92506,             0.91832,             0.95558,             0.75333,            0.019318,           0.0098845,           0.0019944,            0.005743,            0.005743,            0.005743
                 131,            0.023018,            0.015523,           0.0025362,             0.92479,             0.92193,             0.95392,             0.75284,            0.019497,             0.01017,           0.0019319,             0.00571,             0.00571,             0.00571
                 132,            0.022647,            0.015354,           0.0023668,             0.92938,             0.91684,             0.95661,             0.75369,            0.019146,            0.010045,           0.0019191,            0.005677,            0.005677,            0.005677
                 133,            0.022803,            0.015605,           0.0024487,             0.92484,             0.92304,             0.95791,             0.75841,            0.019157,            0.010051,           0.0020581,            0.005644,            0.005644,            0.005644
                 134,            0.022502,            0.015578,           0.0025046,              0.9286,             0.92204,             0.95871,             0.76229,            0.019133,            0.010136,           0.0020904,            0.005611,            0.005611,            0.005611
                 135,            0.022479,            0.015634,           0.0024527,             0.92938,             0.92721,             0.96115,             0.76189,            0.019134,           0.0099737,            0.002065,            0.005578,            0.005578,            0.005578
                 136,            0.022405,            0.015188,           0.0022767,             0.93001,             0.92986,             0.96203,             0.75971,            0.019113,           0.0097639,           0.0018239,            0.005545,            0.005545,            0.005545
                 137,            0.022794,            0.015399,           0.0025794,              0.9341,             0.92139,             0.96038,             0.75844,            0.019163,           0.0099171,           0.0018701,            0.005512,            0.005512,            0.005512
                 138,            0.022233,            0.015234,           0.0023198,             0.92404,             0.92187,             0.95724,             0.74961,             0.01925,           0.0099649,           0.0017265,            0.005479,            0.005479,            0.005479
                 139,            0.022394,             0.01487,           0.0025085,             0.93312,             0.92929,             0.96526,             0.76253,            0.019089,           0.0097512,            0.001777,            0.005446,            0.005446,            0.005446
                 140,            0.022573,            0.015136,           0.0022342,             0.93381,             0.91671,             0.96015,             0.75867,            0.019174,           0.0097823,           0.0018261,            0.005413,            0.005413,            0.005413
                 141,            0.022165,              0.0149,           0.0023156,             0.92935,             0.91654,             0.95722,             0.75548,            0.019361,           0.0098879,           0.0018286,             0.00538,             0.00538,             0.00538
                 142,            0.022618,            0.015862,           0.0023225,             0.92945,             0.92853,             0.95891,             0.75667,            0.019255,           0.0098726,            0.001803,            0.005347,            0.005347,            0.005347
                 143,            0.022263,            0.015067,           0.0023848,             0.93355,             0.91969,             0.95642,             0.75539,            0.019304,            0.009905,           0.0019121,            0.005314,            0.005314,            0.005314
                 144,            0.022434,            0.015283,           0.0024129,             0.93261,             0.92058,              0.9569,             0.75496,            0.019151,            0.010013,           0.0017639,            0.005281,            0.005281,            0.005281
                 145,            0.022031,             0.01516,           0.0023192,             0.93655,             0.92156,             0.95915,             0.75989,            0.019269,           0.0099049,           0.0018709,            0.005248,            0.005248,            0.005248
                 146,             0.02229,            0.015407,           0.0021895,              0.9412,              0.9174,             0.95904,             0.75898,            0.019265,           0.0099492,           0.0018957,            0.005215,            0.005215,            0.005215
                 147,            0.022746,            0.015378,           0.0024007,             0.92894,             0.92063,             0.95919,             0.75637,            0.019184,           0.0099693,           0.0017967,            0.005182,            0.005182,            0.005182
                 148,            0.022091,            0.015272,            0.002312,             0.93267,             0.91485,             0.95928,              0.7593,            0.019021,           0.0099845,           0.0019757,            0.005149,            0.005149,            0.005149
